speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
smeargle,Smeargle,97.8,,,,,LOCK_ON,V_CREATE,LEAF_BLADE,100,100,100,91.1,stunfisk_galarian:774;bastiodon:751;jellicent:848;bronzor:644;shuckle_shadow:614,wobbuffet:338;wynaut:492;wobbuffet_shadow:419;deino:494;altaria:391
oshawott,Oshawott,61.8,,,,,WATER_GUN,AQUA_TAIL,NIGHT_SLASH,52.5,56.2,52.8,47.4,stunfisk_galarian:505;bastiodon:598;nidoqueen_shadow:565;marowak_alolan:796;sandslash_alolan:796,bronzor:334;wobbuffet:306;smeargle:174;shuckle_shadow:297;shuckle:291
victreebel,Victreebel,61.8,,,,,RAZOR_LEAF,LEAF_BLADE,ACID_SPRAY,53.5,50.9,47.4,59.3,jellicent:831;nidoqueen_shadow:614;marill:601;wigglytuff:594;spritzee:513,stunfisk_galarian:464;bastiodon:381;smeargle:266;wobbuffet:308;shuckle_shadow:291
ninetales_alolan,Ninetales (Alolan),61.7,,,,,POWDER_SNOW,WEATHER_BALL_ICE,DAZZLING_GLEAM,38.5,61.8,59.4,44.5,cottonee:550;chikorita:800;stunky_shadow:571;sandshrew_alolan:564;golbat:707,stunfisk_galarian:438;wobbuffet:317;jellicent:311;bronzor:242;bastiodon:118
servine,Servine,61.7,,,,,VINE_WHIP,GRASS_KNOT,WRAP,56.5,44.4,58.4,34.5,stunfisk_galarian:631;bastiodon:506;jellicent:731;marill:750;victreebel_shadow:543,wobbuffet:274;bronzor:215;smeargle:137;shuckle_shadow:208;nidoqueen_shadow:256
chinchou,Chinchou,61.6,,,,,SPARK,THUNDERBOLT,BUBBLE_BEAM,52.9,60.8,54.5,46.3,bastiodon:640;jellicent:771;marill:654;wigglytuff:504;marowak_alolan:654,stunfisk_galarian:270;bronzor:403;wobbuffet:378;smeargle:203;shuckle_shadow:327
dugtrio,Dugtrio,61.6,,,,,MUD_SHOT,MUD_BOMB,STONE_EDGE,63.7,39.6,53.9,26.9,stunfisk_galarian:758;bastiodon:698;jellicent:689;nidoqueen_shadow:586;marowak_alolan:629,bronzor:488;shuckle_shadow:470;shuckle:410;wobbuffet:353;smeargle:81
regirock,Regirock,61.6,,,,,LOCK_ON,STONE_EDGE,FOCUS_BLAST,47.4,40.1,63,25.1,bastiodon:646;shuckle_shadow:630;shuckle:538;nidoqueen_shadow:653;marowak_alolan:623,smeargle:303;stunfisk_galarian:127;jellicent:455;bronzor:296;wobbuffet:206
shiftry_shadow,Shiftry (Shadow),61.6,,,,,SNARL,LEAF_BLADE,FOUL_PLAY,55.2,26.1,68.7,26.1,stunfisk_galarian:847;bronzor:780;jellicent:810;marill:536;seel:762,bastiodon:343;shuckle_shadow:339;shuckle:303;smeargle:96;wobbuffet:121
alomomola,Alomomola,61.5,,,,,WATERFALL,PSYCHIC,HYDRO_PUMP,60.3,51.6,50.4,56.8,stunfisk_galarian:673;bastiodon:648;nidoqueen_shadow:771;marowak_alolan:865;granbull_shadow:521,smeargle:211;shuckle_shadow:345;bronzor:273;shuckle:309;wobbuffet:240
darumaka,Darumaka,61.5,,,,,FIRE_FANG,FIRE_PUNCH,FLAME_CHARGE,62.6,44.3,52.8,53.8,stunfisk_galarian:741;bronzor:544;victreebel_shadow:719;cottonee:640;wigglytuff:505,smeargle:270;bastiodon:206;wobbuffet:336;jellicent:272;shuckle:184
seviper,Seviper,61.5,,,,,POISON_JAB,POISON_FANG,CRUNCH,46.3,47.2,59.4,45,cottonee:726;victreebel_shadow:506;wobbuffet_shadow:664;marill:534;wigglytuff:657,smeargle:322;stunfisk_galarian:153;wobbuffet:419;shuckle_shadow:279;nidoqueen_shadow:400
shellos_east_sea,Shellos (East),61.5,,,,,MUD_SLAP,BODY_SLAM,MUD_BOMB,57.5,48.2,52.3,45,stunfisk_galarian:616;bastiodon:700;nidoqueen_shadow:691;marowak_alolan:710;mawile_shadow:808,bronzor:403;smeargle:181;shuckle:279;jellicent:255;wobbuffet:223
shellos_west_sea,Shellos (West),61.5,,,,,MUD_SLAP,BODY_SLAM,MUD_BOMB,57.5,48.2,52.3,45,stunfisk_galarian:616;bastiodon:700;nidoqueen_shadow:691;marowak_alolan:710;mawile_shadow:808,bronzor:403;smeargle:181;shuckle:279;jellicent:255;wobbuffet:223
skarmory,Skarmory,61.5,,,,,AIR_SLASH,BRAVE_BIRD,SKY_ATTACK,50.6,49,59.7,51.5,nidoqueen_shadow:692;victreebel_shadow:800;cottonee:600;wigglytuff:521;budew:792,stunfisk_galarian:387;bastiodon:268;bronzor:257;smeargle:159;shuckle_shadow:279
serperior,Serperior,61.4,,,,,VINE_WHIP,FRENZY_PLANT,AERIAL_ACE,47.9,45.4,62.5,33.8,stunfisk_galarian:582;marill:739;pachirisu:630;seel:828;vileplume:547,bastiodon:437;shuckle_shadow:327;jellicent:355;wobbuffet:293;shuckle:291
crobat_shadow,Crobat (Shadow),61.3,,,,,AIR_SLASH,POISON_FANG,SHADOW_BALL,52.1,46.1,56,49.4,wobbuffet:790;jellicent:668;wynaut:790;victreebel_shadow:756;wobbuffet_shadow:790,stunfisk_galarian:219;smeargle:351;nidoqueen_shadow:487;bastiodon:93;shuckle_shadow:196
dewott,Dewott,61.3,,,,,FURY_CUTTER,AQUA_TAIL,X_SCISSOR,45.5,59.6,64.3,31.4,bastiodon:523;marowak_alolan:747;mawile_shadow:676;seel:523;nidoqueen:600,stunfisk_galarian:433;smeargle:296;wobbuffet:393;shuckle_shadow:375;shuckle:363
perrserker,Perrserker,61.3,,,,,SHADOW_CLAW,CLOSE_COMBAT,FOUL_PLAY,50.2,43.7,60.5,36.6,bastiodon:698;bronzor:514;nidoqueen_shadow:544;budew:522;skorupi_shadow:654,stunfisk_galarian:260;shuckle_shadow:386;jellicent:416;wobbuffet:355;shuckle:255
quilladin,Quilladin,61.3,,,,,VINE_WHIP,BODY_SLAM,ENERGY_BALL,53.1,57.8,51.6,38.7,stunfisk_galarian:566;jellicent:653;marill:733;victreebel_shadow:526;pachirisu:660,bastiodon:418;wobbuffet:285;bronzor:226;shuckle_shadow:250;smeargle:122
shelgon,Shelgon,61.3,,,,,DRAGON_BREATH,FLAMETHROWER,TWISTER,45.7,54.7,55.7,56.1,jellicent:715;nidoqueen_shadow:625;victreebel_shadow:666;marowak_alolan:569;gloom_shadow:611,bastiodon:468;stunfisk_galarian:229;smeargle:281;wobbuffet:348;bronzor:288
diglett_alolan,Diglett (Alolan),61.2,,,,,MUD_SLAP,MUD_BOMB,ROCK_TOMB,68.7,39.8,49.7,50.6,stunfisk_galarian:675;bastiodon:807;bronzor:684;shuckle:631;nidoqueen_shadow:903,shuckle_shadow:398;jellicent:372;smeargle:170;wobbuffet:172;wigglytuff:472
genesect,Genesect,61.2,,,,,FURY_CUTTER,X_SCISSOR,MAGNET_BOMB,45.1,47.7,65.8,34.4,nidoqueen_shadow:535;victreebel_shadow:596;cottonee:561;budew:710;chikorita:833,stunfisk_galarian:346;bastiodon:337;jellicent:405;shuckle:369;wobbuffet:308
venusaur,Venusaur,61.2,,,,,VINE_WHIP,FRENZY_PLANT,SLUDGE_BOMB,52.6,42.7,57.1,33.5,stunfisk_galarian:528;marill:654;cottonee:654;victreebel_shadow:570;budew:676,bastiodon:418;jellicent:400;wobbuffet:291;shuckle:297;shuckle_shadow:226
golbat,Golbat,61.1,,,,,WING_ATTACK,POISON_FANG,SHADOW_BALL,46.1,51.5,56,46.1,victreebel_shadow:743;cottonee:679;wigglytuff:641;budew:788;marowak_alolan:589,stunfisk_galarian:209;smeargle:303;jellicent:355;wobbuffet:319;nidoqueen_shadow:462
shiftry,Shiftry,61.1,,,,,SNARL,LEAF_BLADE,FOUL_PLAY,46,28.4,71,27.7,stunfisk_galarian:506;jellicent:847;bronzor:548;marill:628;budew:524,bastiodon:343;shuckle_shadow:303;shuckle:220;smeargle:77;wobbuffet:121
vaporeon,Vaporeon,61.1,,,,,WATER_GUN,AQUA_TAIL,LAST_RESORT,53.8,56.1,49.7,46.7,stunfisk_galarian:516;bastiodon:603;nidoqueen_shadow:625;marowak_alolan:798;sandslash_alolan:798,bronzor:307;shuckle:375;smeargle:174;shuckle_shadow:291;wobbuffet:278
bellossom,Bellossom,61,,,,,BULLET_SEED,LEAF_BLADE,RETURN,45.6,34.9,64.6,29,jellicent:828;marill:719;budew:582;pachirisu:534;chikorita:602,stunfisk_galarian:454;bastiodon:468;shuckle_shadow:309;wobbuffet:304;bronzor:219
litwick,Litwick,61,,,,,EMBER,FLAME_CHARGE,FLAME_BURST,55.9,48.2,54.5,53.4,nidoqueen_shadow:668;victreebel_shadow:730;cottonee:640;wobbuffet_shadow:544;budew:662,stunfisk_galarian:474;smeargle:325;wobbuffet:427;bastiodon:200;bronzor:334
meowth_alolan,Meowth (Alolan),61,,,,,BITE,NIGHT_SLASH,FOUL_PLAY,51.2,51.7,51.7,56.5,jellicent:879;bronzor:591;marowak_alolan:810;vileplume:540;nidoqueen:580,stunfisk_galarian:418;bastiodon:406;smeargle:259;wobbuffet:321;shuckle:273
nidorina,Nidorina,61,,,,,POISON_STING,POISON_FANG,RETURN,47.1,48.3,60.7,38.4,wobbuffet:505;nidoqueen_shadow:510;cottonee:802;victreebel_shadow:653;wynaut:532,bastiodon:200;stunfisk_galarian:102;smeargle:196;jellicent:333;shuckle_shadow:255
seedot_shadow,Seedot (Shadow),61,,,,,BULLET_SEED,GRASS_KNOT,FOUL_PLAY,57.6,49.2,55.3,28.2,stunfisk_galarian:634;bastiodon:533;jellicent:725;marill:557;victreebel_shadow:572,smeargle:266;wobbuffet:402;shuckle_shadow:291;bronzor:230;shuckle:267
bibarel_shadow,Bibarel (Shadow),60.9,,,,,WATER_GUN,SURF,HYPER_FANG,59.8,45.5,51.9,50.2,stunfisk_galarian:815;jellicent:589;shuckle_shadow:517;nidoqueen_shadow:625;marowak_alolan:779,bronzor:369;smeargle:170;shuckle:309;marill:392;wobbuffet:148
duskull,Duskull,60.9,,,,,HEX,OMINOUS_WIND,RETURN,45.9,53.1,69.8,39.6,wobbuffet:592;nidoqueen_shadow:714;wynaut:600;wobbuffet_shadow:700;budew:564,stunfisk_galarian:306;bastiodon:343;bronzor:353;jellicent:255;shuckle:208
pangoro,Pangoro,60.9,,,,,SNARL,CLOSE_COMBAT,NIGHT_SLASH,50.2,32.7,69.8,26,stunfisk_galarian:532;bastiodon:677;jellicent:835;marowak_alolan:638;sandslash_alolan:697,shuckle_shadow:410;bronzor:284;wobbuffet:278;shuckle:255;smeargle:107
seaking,Seaking,60.9,,,,,POISON_JAB,DRILL_RUN,ICY_WIND,52.5,54,50.7,38.9,stunfisk_galarian:544;bastiodon:626;marill:544;cottonee:537;whimsicott:645,smeargle:181;wobbuffet:270;bronzor:230;jellicent:222;shuckle_shadow:190
wailord,Wailord,60.9,,,,,WATER_GUN,SURF,BLIZZARD,54.4,54.4,52.5,48,stunfisk_galarian:536;bastiodon:602;nidoqueen_shadow:624;marowak_alolan:821;sandslash_alolan:777,bronzor:353;shuckle_shadow:315;smeargle:174;wobbuffet:297;shuckle:321
zangoose,Zangoose,60.9,,,,,SHADOW_CLAW,CLOSE_COMBAT,NIGHT_SLASH,50.7,40.7,64.6,34.4,stunfisk_galarian:775;jellicent:862;marowak_alolan:557;pachirisu:594;sandslash_alolan:601,bastiodon:212;bronzor:365;wobbuffet:285;shuckle_shadow:279;nidoqueen_shadow:312
jumpluff_shadow,Jumpluff (Shadow),60.7,,,,,BULLET_SEED,AERIAL_ACE,ENERGY_BALL,52.1,46.1,55.1,32.4,stunfisk_galarian:568;victreebel_shadow:744;wynaut:579;marill:607;wobbuffet_shadow:568,bastiodon:318;smeargle:251;wobbuffet:397;jellicent:438;bronzor:173
snorunt,Snorunt,60.7,,,,,POWDER_SNOW,AVALANCHE,SHADOW_BALL,40.9,48.2,62.8,36.4,nidoqueen_shadow:605;cottonee:531;skorupi_shadow:605;skorupi:642;sandslash_alolan:505,bastiodon:356;stunfisk_galarian:209;smeargle:337;bronzor:307;wobbuffet:321
spheal_shadow,Spheal (Shadow),60.7,,,,,WATER_GUN,BODY_SLAM,AURORA_BEAM,44.6,58,51.4,50.2,nidoqueen_shadow:665;marowak_alolan:747;sandslash_alolan:885;skorupi:628;skorupi_shadow:536,stunfisk_galarian:454;bastiodon:293;smeargle:259;bronzor:280;wobbuffet:276
swinub,Swinub,60.7,,,,,POWDER_SNOW,ICY_WIND,BODY_SLAM,47.4,62.1,55.3,39.6,nidoqueen_shadow:764;cottonee:524;pachirisu:730;skorupi_shadow:593;nidoqueen:769,stunfisk_galarian:469;bastiodon:393;smeargle:322;shuckle:315;wobbuffet:278
clauncher,Clauncher,60.6,,,,,WATER_GUN,CRABHAMMER,AQUA_JET,62.6,50.2,49.5,48.7,stunfisk_galarian:854;bastiodon:587;nidoqueen_shadow:674;marowak_alolan:808;mawile_shadow:744,shuckle_shadow:369;wobbuffet:348;shuckle:345;smeargle:174;bronzor:234
pinsir_shadow,Pinsir (Shadow),60.6,,,,,FURY_CUTTER,CLOSE_COMBAT,X_SCISSOR,49.6,34.6,68.6,30.3,stunfisk_galarian:815;wobbuffet:596;wynaut:596;wobbuffet_shadow:596;pachirisu:552,bronzor:373;jellicent:355;smeargle:122;bastiodon:87;shuckle:196
scizor,Scizor,60.6,,,,,BULLET_PUNCH,X_SCISSOR,IRON_HEAD,49.6,52,56,42.6,nidoqueen_shadow:728;victreebel_shadow:610;cottonee:576;budew:720;spritzee:525,stunfisk_galarian:336;bastiodon:312;shuckle_shadow:404;jellicent:366;wobbuffet:314
gliscor_shadow,Gliscor (Shadow),60.5,,,,,WING_ATTACK,EARTHQUAKE,NIGHT_SLASH,52.6,57.2,53.2,41.2,stunfisk_galarian:573;jellicent:735;marowak_alolan:558;skorupi:529;forretress:698,bronzor:480;smeargle:300;wobbuffet:429;shuckle_shadow:357;nidoqueen_shadow:381
grimer_alolan,Grimer (Alolan),60.5,,,,,POISON_JAB,CRUNCH,SLUDGE_BOMB,43.1,45.1,60.5,44.8,jellicent:530;marill:626;cottonee:606;victreebel_shadow:585;budew:570,bastiodon:281;wobbuffet:397;smeargle:225;bronzor:334;stunfisk_galarian:107
magmar_shadow,Magmar (Shadow),60.5,,,,,EMBER,FIRE_PUNCH,FLAMETHROWER,57.1,40.9,59.1,51.5,stunfisk_galarian:651;victreebel_shadow:696;cottonee:522;budew:636;chikorita:787,smeargle:314;wobbuffet:468;bronzor:380;bastiodon:175;nidoqueen_shadow:443
nuzleaf,Nuzleaf,60.5,,,,,FEINT_ATTACK,LEAF_BLADE,FOUL_PLAY,51.1,40.9,59.6,40.6,stunfisk_galarian:547;bronzor:579;pachirisu:515;chikorita:515;seel:739,bastiodon:431;jellicent:477;wobbuffet:340;shuckle_shadow:267;smeargle:151
poliwag,Poliwag,60.5,,,,,MUD_SHOT,BODY_SLAM,MUD_BOMB,48.7,56.7,55.9,32.4,bastiodon:664;nidoqueen_shadow:605;marowak_alolan:817;sandslash_alolan:835;skorupi_shadow:523,stunfisk_galarian:469;bronzor:334;smeargle:207;jellicent:283;wobbuffet:219
sandshrew_alolan,Sandshrew (Alolan),60.5,,,,,POWDER_SNOW,NIGHT_SLASH,BLIZZARD,50.7,41.1,55.9,49.4,nidoqueen_shadow:809;victreebel_shadow:585;cottonee:598;budew:638;spritzee:539,stunfisk_galarian:387;bastiodon:393;bronzor:442;jellicent:388;shuckle_shadow:267
aggron_shadow,Aggron (Shadow),60.4,,,,,SMACK_DOWN,STONE_EDGE,HEAVY_SLAM,51.2,40.4,47.6,61.7,bastiodon:565;shuckle_shadow:606;nidoqueen_shadow:704;wigglytuff:540;marowak_alolan:762,stunfisk_galarian:183;smeargle:262;jellicent:461;shuckle:363;victreebel_shadow:486
foongus,Foongus,60.4,,,,,FEINT_ATTACK,BODY_SLAM,GRASS_KNOT,51.6,54.5,57.8,38.4,victreebel_shadow:720;wigglytuff:541;budew:720;pachirisu:623;spritzee:591,stunfisk_galarian:377;bastiodon:437;smeargle:244;wobbuffet:370;jellicent:383
gible,Gible,60.4,,,,,MUD_SHOT,BODY_SLAM,TWISTER,49.8,40.3,59.4,30.9,bastiodon:664;nidoqueen_shadow:697;marowak_alolan:763;pachirisu:802;skorupi_shadow:631,stunfisk_galarian:494;smeargle:251;shuckle:345;jellicent:327;wobbuffet:253
latias,Latias,60.4,,,,,DRAGON_BREATH,OUTRAGE,PSYCHIC,41.1,51.2,57.1,55.4,nidoqueen_shadow:620;victreebel_shadow:661;wynaut:548;wobbuffet_shadow:540;budew:540,stunfisk_galarian:260;smeargle:270;bastiodon:212;jellicent:477;bronzor:288
mareep,Mareep,60.4,,,,,THUNDER_SHOCK,BODY_SLAM,DISCHARGE,42.3,56.3,60.5,33.4,bastiodon:510;jellicent:801;marill:559;skorupi_shadow:548;sandslash_alolan:752,stunfisk_galarian:178;smeargle:211;nidoqueen_shadow:431;wobbuffet:253;shuckle_shadow:250
leavanny,Leavanny,60.3,,,,,RAZOR_LEAF,LEAF_BLADE,X_SCISSOR,50.5,45.6,48.8,57.3,jellicent:843;marill:597;wynaut:522;victreebel_shadow:507;budew:589,stunfisk_galarian:464;bastiodon:281;wobbuffet:472;smeargle:266;nidoqueen_shadow:481
luvdisc,Luvdisc,60.3,,,,,WATER_GUN,AQUA_JET,DRAINING_KISS,50.6,52.7,50,52.2,bastiodon:685;nidoqueen_shadow:691;marowak_alolan:814;mawile_shadow:752;skorupi:544,stunfisk_galarian:418;shuckle:434;smeargle:174;shuckle_shadow:303;bronzor:226
farfetchd_galarian,Farfetch'd (Galarian),60.2,,,,,FURY_CUTTER,LEAF_BLADE,BRAVE_BIRD,44.6,39.3,69.3,27.4,bastiodon:619;jellicent:634;shuckle:507;seel:567;stunky_shadow:552,stunfisk_galarian:387;wobbuffet:374;shuckle_shadow:327;smeargle:129;wynaut:353
ledyba,Ledyba,60.2,,,,,BUG_BITE,AERIAL_ACE,SILVER_WIND,44.3,45.1,61.2,48.7,wobbuffet:664;wynaut:765;victreebel_shadow:739;wobbuffet_shadow:622;cottonee:526,stunfisk_galarian:229;bronzor:296;smeargle:192;bastiodon:137;shuckle_shadow:244
nidorina_shadow,Nidorina (Shadow),60.2,,,,,POISON_STING,POISON_FANG,SLUDGE_BOMB,43.2,50.1,61.9,36.9,cottonee:736;marill:659;victreebel_shadow:598;wigglytuff:703;budew:637,stunfisk_galarian:142;bastiodon:212;smeargle:251;wobbuffet:280;jellicent:255
sealeo_shadow,Sealeo (Shadow),60.2,,,,,POWDER_SNOW,BODY_SLAM,AURORA_BEAM,41.1,59.2,54.1,42.8,nidoqueen_shadow:552;chikorita:666;skorupi_shadow:593;skorupi:604;seel:562,stunfisk_galarian:392;smeargle:300;wobbuffet:325;shuckle_shadow:285;bronzor:234
milotic,Milotic,60.1,,,,,DRAGON_TAIL,SURF,BLIZZARD,47.3,54.1,55.4,44.2,stunfisk_galarian:573;sandslash_alolan:593;mawile_shadow:606;sandshrew_alolan:540;forretress:560,bastiodon:475;smeargle:211;jellicent:344;wobbuffet:287;nidoqueen_shadow:418
drowzee_shadow,Drowzee (Shadow),60,,,,,CONFUSION,PSYSHOCK,PSYCHIC,49.7,45.8,60.7,51.3,nidoqueen_shadow:742;victreebel_shadow:659;wynaut:510;budew:639;skorupi_shadow:871,stunfisk_galarian:290;bastiodon:387;smeargle:292;jellicent:383;wobbuffet:291
muk,Muk,60,,,,,POISON_JAB,THUNDER_PUNCH,DARK_PULSE,43.1,48.6,58.7,43.8,cottonee:752;victreebel_shadow:570;wigglytuff:629;spritzee:623;budew:582,smeargle:337;bastiodon:268;wobbuffet:385;stunfisk_galarian:107;marill:487
psyduck,Psyduck,60,,,,,WATER_GUN,AQUA_TAIL,CROSS_CHOP,49.1,52.2,51.6,47,bastiodon:560;nidoqueen_shadow:572;marowak_alolan:813;sandslash_alolan:777;mawile_shadow:638,stunfisk_galarian:454;smeargle:259;bronzor:307;shuckle:375;shuckle_shadow:285
roserade,Roserade,60,,,,,BULLET_SEED,WEATHER_BALL_FIRE,LEAF_STORM,54.9,29.4,66.8,24.3,stunfisk_galarian:750;jellicent:678;marill:803;victreebel_shadow:589;wobbuffet_shadow:589,bastiodon:287;wobbuffet:457;wynaut:474;shuckle_shadow:172;shuckle:184
scraggy,Scraggy,60,,,,,FEINT_ATTACK,FOUL_PLAY,BRICK_BREAK,60.3,44.8,50.4,40.5,stunfisk_galarian:660;bastiodon:753;jellicent:540;marowak_alolan:666;stunky_shadow:660,bronzor:423;shuckle_shadow:458;wobbuffet:414;smeargle:181;shuckle:291
sewaddle,Sewaddle,60,,,,,BUG_BITE,SEED_BOMB,SILVER_WIND,49.1,39.1,57.1,45.7,wobbuffet:506;victreebel_shadow:753;wynaut:608;wobbuffet_shadow:596;budew:722,stunfisk_galarian:494;bastiodon:300;bronzor:357;shuckle_shadow:238;smeargle:122
bronzong,Bronzong,59.9,,,,,CONFUSION,PSYSHOCK,PAYBACK,54.2,43.7,59.4,52,nidoqueen_shadow:842;victreebel_shadow:742;cottonee:600;budew:685;gloom_shadow:714,bastiodon:468;stunfisk_galarian:255;bronzor:407;shuckle_shadow:375;wobbuffet:351
muk_shadow,Muk (Shadow),59.9,,,,,POISON_JAB,THUNDER_PUNCH,DARK_PULSE,46.4,48.4,55.4,46.7,cottonee:717;wobbuffet_shadow:711;victreebel_shadow:523;marill:570;wigglytuff:647,smeargle:403;bastiodon:281;wobbuffet:423;stunfisk_galarian:107;jellicent:250
pawniard,Pawniard,59.9,,,,,FURY_CUTTER,NIGHT_SLASH,X_SCISSOR,46.3,36.8,60.5,35.8,bastiodon:514;bronzor:669;nidoqueen_shadow:786;budew:558;chikorita:610,stunfisk_galarian:331;jellicent:438;shuckle:422;shuckle_shadow:339;smeargle:122
totodile,Totodile,59.9,,,,,WATER_GUN,CRUNCH,AQUA_JET,59.4,49,51.4,46.8,stunfisk_galarian:777;bastiodon:530;nidoqueen_shadow:698;marowak_alolan:626;sandslash_alolan:777,bronzor:415;wobbuffet:368;smeargle:174;shuckle_shadow:285;shuckle:291
marowak,Marowak,59.8,,,,,MUD_SLAP,BONE_CLUB,EARTHQUAKE,63.6,46.2,48,49.2,stunfisk_galarian:697;bastiodon:767;nidoqueen_shadow:802;marowak_alolan:697;pachirisu:866,bronzor:365;shuckle_shadow:375;smeargle:211;jellicent:383;shuckle:339
spheal,Spheal,59.8,,,,,WATER_GUN,BODY_SLAM,AURORA_BEAM,45.7,59.4,47.1,48.7,nidoqueen_shadow:701;marowak_alolan:701;spritzee:504;skorupi_shadow:628;sandslash_alolan:614,stunfisk_galarian:474;bastiodon:375;bronzor:365;smeargle:174;jellicent:272
castform_snowy,Castform (Snowy),59.7,,,,,POWDER_SNOW,WEATHER_BALL_ICE,BLIZZARD,42.6,52.7,56.8,40,nidoqueen_shadow:600;cottonee:588;budew:529;chikorita:782;clefable:541,stunfisk_galarian:454;wobbuffet:312;bastiodon:143;bronzor:242;jellicent:294
croconaw,Croconaw,59.7,,,,,WATER_GUN,ICE_PUNCH,CRUNCH,50.5,52.2,56.3,46.7,bastiodon:544;nidoqueen_shadow:608;marowak_alolan:801;skorupi_shadow:506;mawile_shadow:615,bronzor:407;wobbuffet:363;smeargle:174;shuckle_shadow:273;jellicent:283
hydreigon,Hydreigon,59.7,,,,,DRAGON_BREATH,DARK_PULSE,DRAGON_PULSE,40.5,47.8,53.5,56.7,nidoqueen_shadow:537;victreebel_shadow:636;marowak_alolan:689;gloom_shadow:515;oddish_shadow:575,stunfisk_galarian:311;bastiodon:343;smeargle:344;jellicent:494;bronzor:242
mudkip_shadow,Mudkip (Shadow),59.7,,,,,WATER_GUN,STOMP,SLUDGE,56.7,49,47.1,50.2,stunfisk_galarian:810;nidoqueen_shadow:615;marowak_alolan:774;mawile_shadow:670;nidoqueen:567,shuckle_shadow:404;bronzor:300;smeargle:170;wobbuffet:285;jellicent:283
sunkern,Sunkern,59.7,,,,,RAZOR_LEAF,GRASS_KNOT,SEED_BOMB,55.7,47.9,47.4,54.9,stunfisk_galarian:607;jellicent:867;marill:545;seel:780;gardevoir_shadow:571,bastiodon:481;smeargle:225;nidoqueen_shadow:450;wobbuffet:270;shuckle:303
castform,Castform,59.6,,,,,HEX,WEATHER_BALL_ROCK,ENERGY_BALL,44.1,48,61.5,29.6,jellicent:788;marowak_alolan:747;skorupi_shadow:576;seel:723;golbat:788,stunfisk_galarian:464;bastiodon:318;smeargle:174;bronzor:250;wobbuffet:282
meowth_shadow,Meowth (Shadow),59.6,,,,,SCRATCH,BODY_SLAM,NIGHT_SLASH,45,59.5,48.5,56.2,jellicent:608;nidoqueen_shadow:619;victreebel_shadow:510;whimsicott:510;clefable:538,stunfisk_galarian:357;smeargle:344;bastiodon:200;bronzor:242;wobbuffet:223
pinsir,Pinsir,59.6,,,,,FURY_CUTTER,CLOSE_COMBAT,X_SCISSOR,47.8,40,62.7,28.7,stunfisk_galarian:815;wynaut:728;wobbuffet_shadow:596;pachirisu:640;chikorita:754,wobbuffet:461;jellicent:333;bastiodon:100;smeargle:122;bronzor:173
exeggcute,Exeggcute,59.5,,,,,BULLET_SEED,SEED_BOMB,PSYCHIC,53.9,39,55.9,29.5,stunfisk_galarian:602;jellicent:613;marill:619;victreebel_shadow:517;budew:704,bastiodon:393;smeargle:211;wobbuffet:351;bronzor:261;wynaut:471
hypno,Hypno,59.5,,,,,CONFUSION,SHADOW_BALL,THUNDER_PUNCH,50.5,48,58.8,47,nidoqueen_shadow:747;victreebel_shadow:682;wynaut:523;wobbuffet_shadow:623;marill:517,bastiodon:456;stunfisk_galarian:255;bronzor:380;smeargle:237;wobbuffet:346
jirachi,Jirachi,59.5,,,,,CONFUSION,DOOM_DESIRE,PSYCHIC,56.1,43.7,55,49.9,bastiodon:513;nidoqueen_shadow:849;victreebel_shadow:712;cottonee:561;budew:657,stunfisk_galarian:290;shuckle_shadow:482;shuckle:464;jellicent:383;bronzor:288
kingdra,Kingdra,59.5,,,,,DRAGON_BREATH,OUTRAGE,OCTAZOOKA,41.8,55.3,48.2,58.1,jellicent:694;nidoqueen_shadow:611;victreebel_shadow:507;marowak_alolan:813;skorupi:574,stunfisk_galarian:270;bastiodon:381;smeargle:259;bronzor:257;wobbuffet:282
purrloin,Purrloin,59.5,,,,,SUCKER_PUNCH,NIGHT_SLASH,PLAY_ROUGH,50.7,49.1,52.9,35.3,jellicent:838;bronzor:616;nidoqueen_shadow:516;marowak_alolan:683;skorupi_shadow:544,stunfisk_galarian:443;bastiodon:443;smeargle:288;wobbuffet:308;shuckle_shadow:220
conkeldurr,Conkeldurr,59.4,,,,,COUNTER,DYNAMIC_PUNCH,STONE_EDGE,59.3,41.1,46.1,52.6,stunfisk_galarian:833;bastiodon:760;shuckle:600;sandslash_alolan:800;mawile_shadow:573,smeargle:411;shuckle_shadow:339;wobbuffet:321;nidoqueen_shadow:306;jellicent:188
froslass,Froslass,59.4,,,,,POWDER_SNOW,AVALANCHE,SHADOW_BALL,36.9,45.7,65.9,37.4,wobbuffet:547;nidoqueen_shadow:682;wynaut:547;skorupi_shadow:608;skorupi:648,stunfisk_galarian:209;bronzor:376;bastiodon:131;smeargle:122;shuckle_shadow:196
skwovet,Skwovet,59.4,,,,,BULLET_SEED,BODY_SLAM,CRUNCH,45.6,57,58.1,29.3,jellicent:774;nidoqueen_shadow:623;marowak_alolan:548;sandshrew_alolan:544;torterra_shadow:513,stunfisk_galarian:326;bastiodon:406;smeargle:229;bronzor:300;wobbuffet:331
