speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
corsola_galarian,Corsola (Galarian),98.6,99.3,163,139,2252,ASTONISH,NIGHT_SHADE,POWER_GEM,100,86.4,98.9,100,kingdra:629;cramorant:615;altaria:600;dragonair_shadow:597;cradily:521,furret:293;snorlax:296;aurorus:408;quagsire_shadow:493;lapras:494
gourgeist_large,Gourgeist (Large),82.8,115.9,137.2,122,1940,INCINERATE,SHADOW_BALL,SEED_BOMB,80.4,73.1,84.3,73.2,quagsire_shadow:913;vigoroth:758;cradily:602;dragonair_shadow:598;annihilape_shadow:569,cramorant:297;altaria:326;kingdra:402;jellicent:464;corsola_galarian:471
lurantis,Lurantis,82.8,126.2,117.8,119,1770,LEAFAGE,LEAF_BLADE,SUPER_POWER,82.2,56.4,80.8,74,annihilape_shadow:768;vigoroth:743;snorlax:588;dragonair_shadow:558;kingdra:512,jumpluff:133;altaria:155;cramorant:222;cradily:329;corsola_galarian:345
croconaw_shadow,Croconaw (Shadow),82.7,117.7,120,135,1908,SCRATCH,ICE_PUNCH,WATER_PULSE,79.8,81.2,83,49.6,altaria:740;aurorus:707;kingdra:555;vigoroth:533;cramorant:518,annihilape_shadow:146;dragonair_shadow:240;jellicent:240;corsola_galarian:294;cradily:312
dewgong_shadow,Dewgong (Shadow),82.7,101.9,136.9,157,2192,ICE_SHARD,ICY_WIND,DRILL_RUN,80.4,66.8,82,59.5,jumpluff:671;altaria:649;stunfisk:649;cramorant:621;cradily:554,annihilape_shadow:217;corsola_galarian:323;vigoroth:448;kingdra:457;dragonair_shadow:476
dudunsparce,Dudunsparce,82.7,116.1,98.5,169,1935,BITE,DRILL_RUN,BODY_SLAM,78.4,81.7,82.2,67.4,corsola_galarian:689;stunfisk:662;charjabug:550;jellicent:511;furret:502,cradily:392;altaria:413;dragonair_shadow:425;kingdra:432;cramorant:436
xatu_shadow,Xatu (Shadow),82.7,132.2,107.9,119,1698,PECK,PSYSHOCK,AERIAL_ACE,85.5,83.2,83.6,37.1,annihilape_shadow:844;jumpluff:693;vigoroth:659;quagsire_shadow:651;cramorant:626,corsola_galarian:183;kingdra:233;dragonair_shadow:287;cradily:406;altaria:431
dragonite,Dragonite,82.6,135.8,107.3,113,1647,DRAGON_BREATH,THUNDER_PUNCH,SUPER_POWER,85.8,66.4,78.8,56.4,annihilape_shadow:774;quagsire_shadow:765;vigoroth:730;cramorant:654;snorlax:592,cradily:229;corsola_galarian:309;kingdra:322;dragonair_shadow:425;altaria:478
golisopodsh,Golisopod,82.6,124,134.6,108,1804,SHADOW_CLAW,AQUA_JET,X_SCISSOR,80.2,69.6,83.8,59.7,grumpig:810;ninetales_shadow:606;lapras:574;annihilape_shadow:569;jellicent:504,cramorant:178;cradily:350;corsola_galarian:406;kingdra:419;altaria:423
hippowdon,Hippowdon,82.6,116.1,116.7,142,1926,SAND_ATTACK,WEATHER_BALL_ROCK,EARTH_POWER,80.2,78.5,84.5,65.6,stunfisk:760;charjabug:714;corsola_galarian:549;ninetales_shadow:524;jellicent:517,dragonair_shadow:145;kingdra:317;cradily:340;cramorant:353;altaria:456
meganium,Meganium,82.6,110.8,139,131,2018,VINE_WHIP,FRENZY_PLANT,EARTHQUAKE,70.6,45.4,86.6,67.4,quagsire_shadow:904;jellicent:843;lapras:706;kingdra:576;corsola_galarian:549,dragonair_shadow:133;annihilape_shadow:182;altaria:195;cradily:375;vigoroth:472
sceptile_shadow,Sceptile (Shadow),82.6,135.6,109.3,111,1646,FURY_CUTTER,LEAF_BLADE,BREAKING_SWIPE,86.6,78.9,79.5,42.7,lapras:752;quagsire_shadow:707;kingdra:671;dragonair_shadow:671;annihilape_shadow:671,altaria:387;corsola_galarian:388;cramorant:448;vigoroth:468;cradily:486
audino,Audino,82.5,92.6,137.8,190,2428,CHARGE_BEAM,BODY_SLAM,DISARMING_VOICE,79.1,68.5,83,79.3,jellicent:555;dusknoir_shadow:555;araquanid:550;altaria:528;corsola_galarian:523,cradily:309;dragonair_shadow:311;kingdra:355;annihilape_shadow:439;vigoroth:472
gourgeist_average,Gourgeist (Average),82.5,115.9,145,115,1934,INCINERATE,SHADOW_BALL,SEED_BOMB,80.9,71.7,83.8,71.2,quagsire_shadow:908;vigoroth:747;cradily:586;dragonair_shadow:578;annihilape_shadow:560,cramorant:297;altaria:326;kingdra:402;jellicent:464;corsola_galarian:471
quaquaval,Quaquaval,82.5,137.7,98.6,120,1630,LOW_KICK,CLOSE_COMBAT,HYDRO_CANNON,80.1,68.1,87.8,48.6,cradily:766;vigoroth:745;quagsire_shadow:691;kingdra:545;dragonair_shadow:533,jellicent:211;altaria:264;corsola_galarian:287;cramorant:341;annihilape_shadow:464
wobbuffet_shadow,Wobbuffet (Shadow),82.5,63,101.6,333,2134,COUNTER,MIRROR_COAT,FRUSTRATION,79.1,55.6,83.2,81.4,lapras:615;snorlax:585;vigoroth:578;cradily:569;dragonair_shadow:506,corsola_galarian:172;annihilape_shadow:400;altaria:402;cramorant:412;kingdra:491
giratina_origin,Giratina (Origin),82.4,120,101.4,154,1875,DRAGON_TAIL,OMINOUS_WIND,SHADOW_BALL,81.6,59.8,81.8,59,ninetales_shadow:759;quagsire_shadow:737;grumpig:688;jellicent:642;cramorant:587,kingdra:330;dragonair_shadow:358;cradily:381;altaria:467;corsola_galarian:474
marowak,Marowak,82.4,109.6,148.8,125,2041,MUD_SLAP,BONE_CLUB,ROCK_SLIDE,82.5,68.9,80.9,68.4,stunfisk:796;cradily:548;jellicent:548;dragonair_shadow:524;aurorus:524,altaria:340;kingdra:432;cramorant:444;vigoroth:475;corsola_galarian:485
hippowdon_shadow,Hippowdon (Shadow),82.3,116.1,116.7,142,1926,SAND_ATTACK,WEATHER_BALL_ROCK,EARTH_POWER,79.8,87,81.8,52.9,stunfisk:739;charjabug:658;ninetales_shadow:619;furret:570;quagsire_shadow:521,altaria:307;kingdra:347;cradily:371;cramorant:373;corsola_galarian:410
lugia,Lugia,82.3,102.4,167.1,127,2174,DRAGON_TAIL,EARTH_POWER,AEROBLAST,78.3,48.9,91,48.3,kingdra:622;snorlax:614;quagsire_shadow:602;altaria:598;dragonair_shadow:515,corsola_galarian:266;cramorant:281;vigoroth:393;cradily:395;annihilape_shadow:475
heracross,Heracross,82.2,134.6,108.4,114,1665,FURY_CUTTER,UPPER_HAND,ROCK_TOMB,81.6,60.7,81.6,53.4,cradily:820;vigoroth:732;quagsire_shadow:675;snorlax:644;kingdra:565,cramorant:138;dragonair_shadow:287;annihilape_shadow:335;corsola_galarian:338;altaria:431
ursaluna,Ursaluna,82.2,125.6,98.6,144,1786,SCRATCH,THUNDER_PUNCH,HIGH_HORSEPOWER,77.9,72,78.5,54.1,cramorant:711;corsola_galarian:708;furret:552;vigoroth:548;jellicent:538,annihilape_shadow:146;cradily:184;kingdra:258;dragonair_shadow:287;altaria:311
bruxish,Bruxish,82.1,136.4,102.5,117,1637,CONFUSION,AQUA_TAIL,PSYCHIC_FANGS,90.4,81.5,67.4,49.6,annihilape_shadow:760;vigoroth:739;cramorant:662;kingdra:568;dragonair_shadow:529,jumpluff:294;corsola_galarian:309;jellicent:365;cradily:388;altaria:409
machamp,Machamp,82.1,135.4,98.6,124,1656,KARATE_CHOP,CROSS_CHOP,ROCK_SLIDE,82.2,60.6,81.3,55.7,vigoroth:802;aurorus:802;cradily:733;furret:665;lapras:625,cramorant:123;corsola_galarian:244;altaria:387;kingdra:389;dragonair_shadow:496
machoke_shadow,Machoke (Shadow),82.1,126.7,97.3,143,1766,KARATE_CHOP,CROSS_CHOP,DYNAMIC_PUNCH,86,62.3,82.9,53.6,cradily:807;vigoroth:772;kingdra:744;dragonair_shadow:716;snorlax:681,jellicent:182;corsola_galarian:190;annihilape_shadow:271;altaria:293;cramorant:384
venusaur_shadow,Venusaur (Shadow),82.1,122.1,122.1,123,1836,VINE_WHIP,FRENZY_PLANT,SLUDGE,77.5,83.2,86.2,48,quagsire_shadow:703;jellicent:666;lapras:638;kingdra:573;vigoroth:516,dragonair_shadow:161;annihilape_shadow:253;altaria:289;cradily:350;corsola_galarian:446
amoonguss_shadow,Amoonguss (Shadow),82,109.3,105.9,177,2050,ASTONISH,GRASS_KNOT,FOUL_PLAY,76.5,53.7,83.2,65.6,jellicent:838;corsola_galarian:748;stunfisk:720;quagsire_shadow:570;kingdra:562,cramorant:253;vigoroth:282;dragonair_shadow:307;altaria:340;cradily:420
machamp_shadow,Machamp (Shadow),82,135.4,98.6,124,1656,KARATE_CHOP,CROSS_CHOP,ROCK_SLIDE,86.6,75.7,82.3,36.8,vigoroth:737;cradily:733;lapras:705;dragonair_shadow:673;snorlax:673,jellicent:269;corsola_galarian:273;annihilape_shadow:303;altaria:438;kingdra:457
nidorina,Nidorina,82,110.9,113.4,157,1975,POISON_STING,POISON_FANG,THUNDERBOLT,80.7,72.6,80.4,68.4,jumpluff:671;cradily:640;feraligatr:617;furret:589;medicham:522,cramorant:269;corsola_galarian:330;kingdra:364;dragonair_shadow:393;altaria:438
wailmer,Wailmer,82,116.5,68.2,242,1927,ROLLOUT,SCALD,BODY_SLAM,82.5,76.4,81.6,61.3,aurorus:890;lapras:628;quagsire_shadow:588;vigoroth:570;altaria:508,cradily:270;kingdra:360;corsola_galarian:377;dragonair_shadow:377;cramorant:484
zeraora,Zeraora,82,138.3,100.9,114,1592,VOLT_SWITCH,PLASMA_FISTS,DYNAMIC_PUNCH,85,78.4,80.8,44,cramorant:872;jellicent:811;vigoroth:732;annihilape_shadow:644;kingdra:552,dragonair_shadow:177;corsola_galarian:363;altaria:376;cradily:395;quagsire_shadow:444
gengar_shadow,Gengar (Shadow),81.9,154.3,95.4,98,1444,SHADOW_CLAW,SHADOW_PUNCH,DARK_PULSE,84.2,68.1,77.4,33.3,annihilape_shadow:872;jellicent:688;kingdra:627;cramorant:551;dragonair_shadow:535,snorlax:98;corsola_galarian:262;cradily:413;vigoroth:420;altaria:474
lugia_shadow,Lugia (Shadow),81.9,104.2,164.3,124,2125,DRAGON_TAIL,FLY,EARTH_POWER,72.9,55.1,86.9,55.4,annihilape_shadow:588;altaria:548;quagsire_shadow:528;snorlax:524;kingdra:504,corsola_galarian:320;cradily:329;dragonair_shadow:362;vigoroth:482;cramorant:484
marowak_alolan,Marowak (Alolan),81.9,109.6,148.8,125,2041,FIRE_SPIN,BONE_CLUB,SHADOW_BONE,81.6,67,81.3,72,medicham:768;ninetales_shadow:652;jumpluff:644;annihilape_shadow:616;vigoroth:592,kingdra:334;altaria:344;corsola_galarian:420;cramorant:428;cradily:434
palkia_shadow,Palkia (Shadow),81.9,140.3,109.9,100,1544,DRAGON_BREATH,AQUA_TAIL,DRACO_METEOR,86.2,68.9,63.7,37.9,aurorus:725;cradily:695;quagsire_shadow:690;annihilape_shadow:595;corsola_galarian:555,jellicent:310;dragonair_shadow:389;altaria:438;kingdra:483;vigoroth:486
salamence,Salamence,81.9,143.4,93,117,1562,DRAGON_TAIL,FLY,BRUTAL_SWING,84.4,70.4,81.6,41.7,ninetales_shadow:692;deoxys_defense:641;kingdra:611;dusknoir_shadow:611;araquanid:542,vigoroth:344;dragonair_shadow:358;cradily:378;corsola_galarian:388;altaria:496
swampert_shadow,Swampert (Shadow),81.9,122.9,109.1,136,1826,MUD_SHOT,HYDRO_CANNON,EARTHQUAKE,78.9,61.8,82,49.3,aurorus:797;annihilape_shadow:702;stunfisk:665;quagsire_shadow:602;vigoroth:503,cramorant:91;altaria:184;kingdra:254;cradily:291;corsola_galarian:348
flygon,Flygon,81.8,127.9,109.5,125,1752,DRAGON_TAIL,SAND_TOMB,TWISTER,78.4,66.2,77.9,50.8,furret:688;altaria:660;quagsire_shadow:652;cradily:556;vigoroth:504,annihilape_shadow:239;kingdra:309;corsola_galarian:330;dragonair_shadow:381;cramorant:456
farfetchd,Farfetch'd,81.7,116.8,109.2,131,1671,FURY_CUTTER,LEAF_BLADE,AERIAL_ACE,80.2,73.1,80.2,64.3,quagsire_shadow:732;jellicent:671;araquanid:610;snorlax:580;furret:522,altaria:221;cramorant:353;kingdra:368;cradily:371;corsola_galarian:381
gallade_shadow,Gallade (Shadow),81.7,136.5,115.6,104,1642,PSYCHO_CUT,LEAF_BLADE,SACRED_SWORD,86.8,80.1,76.2,32.8,quagsire_shadow:841;annihilape_shadow:788;vigoroth:764;dragonair_shadow:687;cradily:682,corsola_galarian:298;altaria:409;kingdra:411;cramorant:428;jellicent:467
garganacl,Garganacl,81.7,105.8,137.2,145,2107,MUD_SHOT,ROCK_TOMB,ROCK_BLAST,78.1,77.1,80.1,66.4,altaria:651;ninetales_shadow:617;fearow:610;lapras:565;corsola_galarian:548,kingdra:220;dragonair_shadow:334;cramorant:388;cradily:388;vigoroth:431
gurdurr_shadow,Gurdurr (Shadow),81.7,125.3,100.1,143,1795,LOW_KICK,BRICK_BREAK,STONE_EDGE,79.8,67.6,77.1,53.9,cradily:821;altaria:744;vigoroth:716;lapras:716;kingdra:545,annihilape_shadow:146;corsola_galarian:151;jellicent:179;cramorant:285;dragonair_shadow:318
raikou_shadow,Raikou (Shadow),81.7,133.5,109.9,113,1659,THUNDER_SHOCK,WILD_CHARGE,AURA_SPHERE,85.7,67,91.9,27.9,jellicent:809;vigoroth:756;lapras:756;annihilape_shadow:597;cramorant:535,cradily:375;kingdra:436;corsola_galarian:467;altaria:478;dragonair_shadow:496
teddiursa,Teddiursa,81.7,131.5,90.4,142,1690,SCRATCH,SWIFT,CROSS_CHOP,79.9,72.5,76.2,56.7,dragonair_shadow:742;dunsparce:619;stunfisk:612;feraligatr:566;hypno:521,cramorant:265;corsola_galarian:309;cradily:326;altaria:402;kingdra:436
zapdos_shadow,Zapdos (Shadow),81.7,138.1,103.4,112,1601,THUNDER_SHOCK,DRILL_PECK,HEAT_WAVE,86.2,82.3,83.2,35.1,araquanid:808;annihilape_shadow:754;cramorant:718;jumpluff:611;dragonair_shadow:593,cradily:288;corsola_galarian:392;altaria:394;vigoroth:434;kingdra:495
gourgeist_small,Gourgeist (Small),81.6,116.8,152.9,107,1913,INCINERATE,SHADOW_BALL,SEED_BOMB,80.2,70.7,82.7,67.4,quagsire_shadow:901;vigoroth:742;cradily:565;dragonair_shadow:556;annihilape_shadow:546,cramorant:297;altaria:329;kingdra:406;jellicent:464;corsola_galarian:474
illumise,Illumise,81.6,111.4,136.2,133,2019,INFESTATION,SILVER_WIND,SHADOW_BALL,76.5,52.8,83.2,67.9,annihilape_shadow:650;grumpig:631;stunfisk:563;araquanid:556;quagsire_shadow:515,cramorant:142;altaria:304;corsola_galarian:363;cradily:451;kingdra:487
poliwrath_shadow,Poliwrath (Shadow),81.6,115.8,122,137,1936,MUD_SHOT,ICY_WIND,DYNAMIC_PUNCH,80.6,73.5,80.6,55.9,aurorus:781;furret:635;vigoroth:605;dragonair_shadow:547;altaria:507,cramorant:222;annihilape_shadow:382;corsola_galarian:384;cradily:399;kingdra:495
regirock_shadow,Regirock (Shadow),81.6,105.7,178.4,111,2095,LOCK_ON,STONE_EDGE,FOCUS_BLAST,69.6,60.7,92.7,44,cradily:878;snorlax:761;aurorus:635;cramorant:554;altaria:522,dragonair_shadow:74;annihilape_shadow:75;kingdra:88;corsola_galarian:341;vigoroth:382
swampert,Swampert,81.6,122.9,109.1,136,1826,MUD_SHOT,HYDRO_CANNON,EARTHQUAKE,78.6,59.3,81.5,61,ninetales_shadow:772;stunfisk:738;quagsire_shadow:680;aurorus:632;snorlax:511,altaria:166;cramorant:198;kingdra:245;cradily:260;corsola_galarian:449
chansey,Chansey,81.5,63,120.1,421,3188,ZEN_HEADBUTT,DAZZLING_GLEAM,HYPER_BEAM,69.6,51.2,87.6,82.9,corsola_galarian:642;jellicent:561;marowak:561;quagsire_shadow:546;feraligatr:536,dragonair_shadow:240;cradily:246;cramorant:349;altaria:416;kingdra:457
frigibax,Frigibax,81.5,125.2,84.8,149,1583,DRAGON_BREATH,AVALANCHE,DRAGON_CLAW,77.8,83.1,83.9,38.4,cradily:778;stunfisk:681;jumpluff:661;altaria:610;cramorant:520,vigoroth:210;annihilape_shadow:289;kingdra:309;corsola_galarian:384;dragonair_shadow:429
barbaracle,Barbaracle,81.4,120.9,133,115,1851,FURY_CUTTER,CROSS_CHOP,STONE_EDGE,79.3,70.3,78.8,55.4,lapras:795;aurorus:769;vigoroth:682;furret:652;dragonair_shadow:530,kingdra:309;corsola_galarian:330;cradily:402;cramorant:408;altaria:489
gallade,Gallade,81.4,136.5,115.6,104,1642,PSYCHO_CUT,LEAF_BLADE,SACRED_SWORD,78.8,74.8,74.6,53.4,quagsire_shadow:879;aurorus:802;annihilape_shadow:778;cradily:745;snorlax:533,cramorant:162;corsola_galarian:262;altaria:329;kingdra:368;dragonair_shadow:433
golbat_shadow,Golbat (Shadow),81.4,117.6,116.2,139,1901,WING_ATTACK,POISON_FANG,SHADOW_BALL,77.3,71.2,79.2,62.5,corsola_galarian:708;jumpluff:593;jellicent:586;araquanid:568;ninetales_shadow:557,dragonair_shadow:279;cradily:319;altaria:365;cramorant:448;kingdra:466
zoroark_hisuian,Zoroark (Hisuian),81.4,163.4,87.5,96,1374,SHADOW_CLAW,SWIFT,SHADOW_BALL,86.8,76.2,69.7,32,annihilape_shadow:760;corsola_galarian:739;altaria:651;cramorant:552;dragonair_shadow:526,quagsire_shadow:226;vigoroth:331;jellicent:394;cradily:465;kingdra:466
gurdurr,Gurdurr,81.3,125.3,100.1,143,1795,LOW_KICK,BRICK_BREAK,STONE_EDGE,77.8,62.3,82.2,62.3,vigoroth:786;cradily:769;snorlax:716;dragonair_shadow:541;kingdra:503,annihilape_shadow:110;corsola_galarian:140;altaria:210;cramorant:261;jellicent:314
lanturn,Lanturn,81.3,104.8,105.5,194,2145,SPARK,SURF,THUNDERBOLT,80.1,62.1,83.9,66.9,cramorant:726;jellicent:675;kingdra:564;corsola_galarian:536;annihilape_shadow:530,cradily:288;snorlax:302;dragonair_shadow:330;vigoroth:368;altaria:387
marowak_alolan_shadow,Marowak (Alolan) (Shadow),81.3,109.6,148.8,125,2041,FIRE_SPIN,SHADOW_BONE,BONE_CLUB,77.6,59,77.4,63.8,deoxys_defense:900;medicham:776;ninetales_shadow:732;jumpluff:624;annihilape_shadow:548,kingdra:105;cramorant:253;cradily:385;altaria:420;corsola_galarian:496
mismagius_shadow,Mismagius (Shadow),81.3,131.6,123.6,104,1693,PSYWAVE,SHADOW_BALL,MYSTICAL_FIRE,73.3,87.9,73.9,46.3,deoxys_defense:879;altaria:701;medicham:649;cradily:533;vigoroth:504,corsola_galarian:169;cramorant:250;kingdra:258;dragonair_shadow:287;annihilape_shadow:432
throh_shadow,Throh (Shadow),81.3,110.2,107.7,171,2032,LOW_KICK,BRICK_BREAK,BODY_SLAM,81.4,63.1,75.1,75,cradily:850;snorlax:763;lapras:763;vigoroth:570;dragonair_shadow:520,annihilape_shadow:207;corsola_galarian:219;altaria:268;cramorant:349;kingdra:466
torkoal,Torkoal,81.3,107.5,151.3,128,2084,EMBER,FLAME_WHEEL,OVERHEAT,77.3,57.5,83.9,71.5,jumpluff:902;furret:632;annihilape_shadow:589;grumpig:589;araquanid:570,kingdra:203;cramorant:218;corsola_galarian:305;altaria:344;cradily:395
electivire_shadow,Electivire (Shadow),81.2,143.3,100.8,108,1562,THUNDER_SHOCK,ICE_PUNCH,WILD_CHARGE,87.6,78.5,92.2,22.6,altaria:745;cramorant:708;vigoroth:625;annihilape_shadow:583;dragonair_shadow:578,quagsire_shadow:102;aurorus:167;cradily:322;kingdra:419;corsola_galarian:474
misdreavus,Misdreavus,81.2,123,120.8,122,1814,PSYWAVE,DARK_PULSE,SHADOW_SNEAK,78.9,84.2,83,53.4,vigoroth:606;araquanid:606;dragonair_shadow:540;cradily:532;annihilape_shadow:508,kingdra:190;cramorant:194;altaria:333;corsola_galarian:446;jellicent:451
slowbro_galarian,Slowbro (Galarian),81.2,119.1,108.3,146,1885,CONFUSION,DRAIN_PUNCH,SLUDGE_BOMB,84.2,72.3,76.7,63.6,annihilape_shadow:886;aurorus:623;altaria:602;cradily:585;quagsire_shadow:578,corsola_galarian:219;cramorant:313;dragonair_shadow:318;kingdra:466;vigoroth:493
rapidash_shadow,Rapidash (Shadow),81.1,133.6,111.5,112,1670,INCINERATE,DRILL_RUN,WILD_CHARGE,79.9,78.2,77.6,37.1,aurorus:834;vigoroth:727;furret:683;annihilape_shadow:611;corsola_galarian:580,cramorant:103;kingdra:105;dragonair_shadow:204;cradily:430;altaria:452
ursaring,Ursaring,81.1,139.6,91.3,126,1607,SHADOW_CLAW,CLOSE_COMBAT,SWIFT,83.5,63.1,76,44.2,vigoroth:757;lapras:734;jellicent:603;corsola_galarian:579;kingdra:503,cradily:184;cramorant:222;altaria:322;annihilape_shadow:325;dragonair_shadow:468
charizard_shadow,Charizard (Shadow),81,132.7,108.8,117,1691,EMBER,BLAST_BURN,AIR_CUTTER,85.8,63.2,83,37.9,jumpluff:910;annihilape_shadow:786;vigoroth:739;furret:696;aurorus:512,cramorant:123;altaria:315;kingdra:330;cradily:420;corsola_galarian:492
chesnaught_shadow,Chesnaught (Shadow),81,119.3,126.9,124,1879,LOW_KICK,FRENZY_PLANT,SUPER_POWER,71.9,48.1,87.8,57.2,quagsire_shadow:770;cradily:685;jellicent:677;kingdra:548;vigoroth:528,annihilape_shadow:110;cramorant:130;altaria:278;dragonair_shadow:318;corsola_galarian:345
pumpkaboo_large,Pumpkaboo (Large),81,113.4,115.1,133,1737,ASTONISH,GRASS_KNOT,FOUL_PLAY,79.3,52.8,78.8,63.8,jellicent:631;corsola_galarian:556;kingdra:556;annihilape_shadow:552;dragonair_shadow:537,cramorant:253;altaria:322;snorlax:371;vigoroth:410;cradily:427
regice,Regice,81,104.5,179.9,114,2144,LOCK_ON,BLIZZARD,THUNDER,75.6,57.9,93.8,39.6,jumpluff:675;altaria:618;cramorant:605;kingdra:592;dragonair_shadow:539,annihilape_shadow:75;vigoroth:313;corsola_galarian:374;jellicent:387;cradily:437
sceptile,Sceptile,81,135.6,109.3,111,1646,FURY_CUTTER,LEAF_BLADE,BREAKING_SWIPE,80.1,66,77.9,60.3,quagsire_shadow:914;aurorus:671;lapras:599;kingdra:545;snorlax:522,cramorant:162;dragonair_shadow:240;corsola_galarian:356;altaria:391;cradily:458
ursaluna_shadow,Ursaluna (Shadow),81,125.6,98.6,144,1786,SCRATCH,THUNDER_PUNCH,HIGH_HORSEPOWER,76.3,73.1,75.1,41.7,stunfisk:701;cramorant:677;deoxys_defense:663;corsola_galarian:659;snorlax:524,cradily:184;kingdra:258;dragonair_shadow:287;altaria:405;vigoroth:458
victini,Victini,81,120.4,119.3,129,1855,CONFUSION,V_CREATE,PSYSHOCK,77.1,72.1,84.6,54.4,annihilape_shadow:841;aurorus:759;ninetales_shadow:736;vigoroth:717;jumpluff:624,kingdra:258;dragonair_shadow:271;cradily:388;corsola_galarian:417;altaria:452
wyrdeer,Wyrdeer,81,126.6,95.5,146,1767,CONFUSION,STOMP,WILD_CHARGE,81.1,81,83.9,55.4,annihilape_shadow:722;jellicent:647;corsola_galarian:609;kingdra:513;vigoroth:506,furret:237;cramorant:337;dragonair_shadow:338;cradily:371;altaria:373
qwilfish,Qwilfish,80.9,131.1,105.5,123,1703,POISON_STING,AQUA_TAIL,SHADOW_BALL,79.8,71.8,80.6,51.1,annihilape_shadow:772;jumpluff:638;grumpig:589;ninetales_shadow:573;dragonair_shadow:556,cramorant:178;corsola_galarian:370;cradily:399;altaria:427;kingdra:478
rayquaza,Rayquaza,80.9,147.5,89.5,115,1519,DRAGON_TAIL,BREAKING_SWIPE,DRAGON_ASCENT,74.5,44.8,85.5,33,jumpluff:673;jellicent:643;lapras:573;snorlax:517;altaria:513,cramorant:253;kingdra:334;dragonair_shadow:358;cradily:451;corsola_galarian:485
articuno_shadow,Articuno (Shadow),80.8,115.1,136.9,123,1939,POWDER_SNOW,TRIPLE_AXEL,HURRICANE,76.1,58.5,83,50.1,cradily:800;altaria:703;snorlax:577;dragonair_shadow:508;vigoroth:504,quagsire_shadow:245;cramorant:265;kingdra:275;annihilape_shadow:303;corsola_galarian:356
castform_rainy,Castform (Rainy),80.8,112.6,121.2,146,1994,WATER_GUN,WEATHER_BALL_WATER,THUNDER,76.8,58.7,82.5,58.5,aurorus:739;jellicent:613;annihilape_shadow:544;cramorant:523;corsola_galarian:513,kingdra:122;dragonair_shadow:185;cradily:284;altaria:456;vigoroth:475
crobat,Crobat,80.8,121.2,118.1,129,1847,GUST,AIR_CUTTER,POISON_FANG,79.6,74.2,75,68.1,jumpluff:903;annihilape_shadow:674;araquanid:651;furret:577;vigoroth:546,kingdra:258;dragonair_shadow:338;corsola_galarian:345;altaria:369;cradily:381
decidueye,Decidueye,80.8,127.8,115.2,119,1754,LEAFAGE,FRENZY_PLANT,SPIRIT_SHACKLE,83,67.3,84.6,64.8,annihilape_shadow:869;vigoroth:735;kingdra:668;jellicent:588;snorlax:550,altaria:210;aurorus:277;corsola_galarian:366;cradily:430;dragonair_shadow:440
delphox_shadow,Delphox (Shadow),80.8,132.6,115.6,110,1687,SCRATCH,PSYSHOCK,BLAST_BURN,81.2,76.2,78.8,32.3,lapras:786;annihilape_shadow:745;cramorant:645;aurorus:636;kingdra:527,corsola_galarian:75;vigoroth:210;dragonair_shadow:287;cradily:350;altaria:474
electrode_shadow,Electrode (Shadow),80.8,122.8,126.3,118,1832,VOLT_SWITCH,DISCHARGE,FOUL_PLAY,80.6,73.4,80.9,63.3,cramorant:877;fearow:843;lapras:826;jellicent:817;grumpig:741,dragonair_shadow:177;cradily:274;altaria:394;corsola_galarian:442;kingdra:491
avalugg,Avalugg,80.7,111.7,141.3,127,2007,ICE_FANG,AVALANCHE,BODY_SLAM,78.9,57,83.4,68.9,altaria:814;vigoroth:602;cradily:555;furret:551;dragonair_shadow:543,quagsire_shadow:251;annihilape_shadow:289;jellicent:333;kingdra:334;corsola_galarian:449
diggersby,Diggersby,80.7,95.7,140.3,174,2337,MUD_SHOT,FIRE_PUNCH,SCORCHING_SANDS,79.1,67.5,81.5,76,stunfisk:738;corsola_galarian:724;ninetales_shadow:658;furret:594;vigoroth:531,cramorant:138;altaria:253;kingdra:330;dragonair_shadow:409;cradily:427
noctowl_shadow,Noctowl (Shadow),80.7,105.3,120.1,168,2126,WING_ATTACK,SKY_ATTACK,SHADOW_BALL,77,52.1,83.2,62,jumpluff:776;jellicent:720;araquanid:696;corsola_galarian:604;cramorant:562,dragonair_shadow:263;cradily:322;altaria:442;kingdra:470;vigoroth:486
dipplin,Dipplin,80.6,114.6,128.8,132,1950,DRAGON_TAIL,SEED_BOMB,OUTRAGE,77.5,57.6,76,62.5,quagsire_shadow:852;furret:602;jellicent:583;vigoroth:526;kingdra:503,annihilape_shadow:217;altaria:311;cradily:333;dragonair_shadow:334;corsola_galarian:420
electrode,Electrode,80.6,122.8,126.3,118,1832,VOLT_SWITCH,DISCHARGE,FOUL_PLAY,78.1,67.3,81.8,71.5,cramorant:881;lapras:580;jellicent:572;altaria:521;araquanid:521,dragonair_shadow:181;cradily:239;vigoroth:372;corsola_galarian:381;kingdra:415
claydol,Claydol,80.5,103.5,172.6,121,2164,MUD_SLAP,ROCK_TOMB,SHADOW_BALL,76.8,55.9,81.6,60,stunfisk:735;grumpig:669;snorlax:570;jellicent:561;annihilape_shadow:557,cramorant:123;corsola_galarian:197;kingdra:300;altaria:329;cradily:447
